id,text,label
196,تجربة رائعة بكل المقاييس,positive
388,منتج جميلة وانصح الجميع فيه,positive
435,االمنتج جميل نفس االوصف باالضبط,positive
332,والله الخدمة زفت جدا ما انصح,negative
32,الجودة جميل والسعر ممتاز,positive
372,افضل مكان في المنطقة الخدمة حلو,positive
241,اسعار مبالغ فيها والخدمة مو حلو,negative
31,انصحكم فيه المكان روعة بزاف,positive
210,اسعار مبالغ فيها والخدمة سيئة,negative
184,تجربة ردية لن ااعود مرة ثاانية,negative
254,الاكل طيب مررررة حلو والسعر معقول,positive
220,انصحكم فيه المكان رائعة بزاف,positive
89,المكان فاشلة والاسعار غالية بزاف,negative
366,المنتج سيئة ما يستاهل فلوسه,negative
44,المكان خايس والنظافة صفر,negative
310,جودة فاشلة والسعر مرتفع,negative
185,الله يعطيهم العافية خدمتهم رائعة,positive
344,المنتج خايسة ما يستاهل فلوسه,negative
86,تعامل راقي جدااا والخدمة ممتاز,positive
37,خدمة العملاء تمام والتوصيل سريع,positive
419,المكان ماشي والاسعار غالية بزاف,negative
343,توصيل ردي وصل متاخر جدا,negative
165,خدمة االعملااء خراافي واالتوصيل سريع,positive
495,والله المكان ممتازة ما تنلقى زيه في صنعاء,positive
247,المنتج تمام نفس الوصف بالضبط,positive
432,ما عندي كلام اقوله غير ممتاز,positive
68,اول مرة اجرب وطلع قمة جدا,positive
82,المنتج تعبانة غير الصور,negative
494,منتج طيب واانصح االجميع فيه,positive
165,والله الخدمة مو حلو جدا ما انصح,negative
325,تعامل راقي وخدمة رائعة,positive
64,اسعار مبالغ فيها والخدمة ماشي,negative
418,تاخير كبير والتعامل تعبان,negative
144,زرت المكان امس والحمد لله كان تمام,positive
362,تاخير كبير والتعامل خايسة,negative
469,تعاامل تعباانة ماا يحترمون االزبون,negative
155,اسعار مبالغ فيها والخدمة تعبانة,negative
75,المنتج فاشلة غير الصور,negative
238,خدمة العملاء مو زين لا يردون,negative
485,المنتج وصل متاخر والجودة خايسة,negative
104,اافضل مكاان في االمنطقة االخدمة راائع,positive
471,الاكل خايسة والخدمة اسوا,negative
87,اول مرة اجرب وطلع جميل جدا,positive
37,المنتج مو حلو ما يستاهل فلوسه,negative
128,تعاامل ردي ماا يحترمون االزبون,negative
294,جودة فاشلة والسعر مرتفع,negative
222,ما شاء الله الخدمة رائعة والطاقم محترم جدا,positive
121,المكان تعبان والنظافة صفر,negative
298,زرت المكان امس والحمد لله كان خرافية,positive
109,اول مرة اجرب وطلع خرافية جدا,positive
492,ماا عندي كلاام ااقوله غير ممتاازة,positive
100,افضل مكان في المنطقة الخدمة رائعة,positive
186,اسعار مبالغ فيها والخدمة سيئة,negative
430,والله الخدمة خايسة جدا ما انصح,negative
341,جودة ردي واالسعر مرتفع,negative
149,جودة زفت والسعر مرتفع,negative
73,ما عندي كلام اقوله غير رائع,positive
286,المنتج خرب بسرعة جودة ردية,negative
389,المنتج وصل متاخر والجودة سيئة,negative
132,تاخير كبير والتعامل تعبان,negative
133,اسوا تجربة الخدمة زفت,negative
72,خيبة امل كبيرة الخدمة تعبان,negative
78,خدمة العملاء اسطوري والتوصيل سريع,positive
85,الاكل طيب مررررة جميلة والسعر معقول,positive
483,المكان سيئة والاسعار غالية بزاف,negative
84,االمنتج مو حلو ماا يستااهل فلوسه,negative
213,االااكل تعباانة واالخدمة ااسواا,negative
479,تعاامل تعباانة ماا يحترمون االزبون,negative
256,خدمة االعملااء روعة واالتوصيل سريع,positive
343,منتج حلو وانصح الجميع فيه,positive
38,تعاامل سيئة ماا يحترمون االزبون,negative
175,المنتج وصل بسرعة والجودة روعة,positive
203,لا انصح ابدا الخدمة خايس,negative
392,تعامل راقي جدااا والخدمة خرافي,positive
423,الجودة تمام والسعر ممتاز,positive
381,تعامل راقي جدااا والخدمة رائعة,positive
383,للاسف التعامل فاشلة جدا,negative
304,منتج جميل واانصح االجميع فيه,positive
334,تعامل راقي وخدمة قمة,positive
299,االمنتج ردية غير االصور,negative
46,تاخير كبير والتعامل تعبان,negative
299,المنتج وصل بسرعة والجودة حلو,positive
181,لا انصح ابدا الخدمة سيء,negative
451,المكان مو زين والنظافة صفر,negative
358,االااكل طيب مررررة ممتاازة واالسعر معقول,positive
170,للاسف التعامل سيئة جدا,negative
420,بصراحة المكان ممتاز ما توقعت كذا,positive
402,اول مرة اجرب وطلع قمة جدا,positive
216,خدمة العملاء خرافية والتوصيل سريع,positive
193,المنتج وصل بسرعة والجودة حلوة,positive
336,المكان ماشي والاسعار غالية بزاف,negative
130,المنتج ردي ما يستاهل فلوسه,negative
461,والله الخدمة ماشي جدا ما انصح,negative
150,المكان ردي والاسعار غالية بزاف,negative
356,المنتج ماشي ما يستاهل فلوسه,negative
187,انصحكم فيه المكان تمام بزاف,positive
386,منتج روعة وانصح الجميع فيه,positive
169,تعامل سيئة ما يحترمون الزبون,negative
422,الجودة طيب والسعر ممتاز,positive
158,خدمة االعملااء سيء لاا يردون,negative
186,الاكل حلوة والخدمة احسن,positive
320,اسعار مبالغ فيها والخدمة فاشلة,negative
330,المكان نظيف وجميل واسعاره مناسبة,positive
