id,text,label,cleaned_text,stemmed_text
196,تجربة رائعة بكل المقاييس,positive,تجربه رائعه بكل المقاييس,جرب رئع بكل مقاييس
388,منتج جميلة وانصح الجميع فيه,positive,منتج جميله وانصح الجميع فيه,نتج جمل نصح جمع فيه
435,االمنتج جميل نفس االوصف باالضبط,positive,االمنتج جميل نفس االوصف باالضبط,نتج جمل نفس وصف ضبط
332,والله الخدمة زفت جدا ما انصح,negative,والله الخدمه زفت جدا ما انصح,ولل خدم زفت جدا ما نصح
32,الجودة جميل والسعر ممتاز,positive,الجوده جميل والسعر ممتاز,جود جمل سعر متز
372,افضل مكان في المنطقة الخدمة حلو,positive,افضل مكان في المنطقه الخدمه حلو,فضل كان في طقه خدم حلو
241,اسعار مبالغ فيها والخدمة مو حلو,negative,اسعار مبالغ فيها والخدمه مو حلو,سعر بلغ فيه خدم مو حلو
31,انصحكم فيه المكان روعة بزاف,positive,انصحكم فيه المكان روعه بزاف,نصح فيه كان روع بزف
210,اسعار مبالغ فيها والخدمة سيئة,negative,اسعار مبالغ فيها والخدمه سيئه,سعر بلغ فيه خدم سيئ
184,تجربة ردية لن ااعود مرة ثاانية,negative,تجربه رديه لن ااعود مره ثاانيه,جرب رده لن اعد مره ثان
254,الاكل طيب مررررة حلو والسعر معقول,positive,الاكل طيب مره حلو والسعر معقول,اكل طيب مره حلو سعر عقل
220,انصحكم فيه المكان رائعة بزاف,positive,انصحكم فيه المكان رائعه بزاف,نصح فيه كان رئع بزف
89,المكان فاشلة والاسعار غالية بزاف,negative,المكان فاشله والاسعار غاليه بزاف,كان فشل سعر غلي بزف
366,المنتج سيئة ما يستاهل فلوسه,negative,المنتج سيئه ما يستاهل فلوسه,نتج سيئ ما تهل فلس
44,المكان خايس والنظافة صفر,negative,المكان خايس والنظافه صفر,كان خيس نظف صفر
310,جودة فاشلة والسعر مرتفع,negative,جوده فاشله والسعر مرتفع,جود فشل سعر رفع
185,الله يعطيهم العافية خدمتهم رائعة,positive,الله يعطيهم العافيه خدمتهم رائعه,الل يعط عفي خدم رئع
